epoch:0, self loss:3874427.1686, cross loss:2943838.2111, G loss:638.6629, D loss:333.1965, reg loss:148433.8652
test: movie: hr:0.1809,ndcg:0.0978,mrr:0.0727, book: hr:0.2060,ndcg:0.1217,mrr:0.0962
epoch:1, self loss:165281.9117, cross loss:118605.7415, G loss:1555.2168, D loss:81.0792, reg loss:73524.4334
test: movie: hr:0.2288,ndcg:0.1251,mrr:0.0938, book: hr:0.2637,ndcg:0.1541,mrr:0.1206
epoch:2, self loss:71109.7997, cross loss:62718.9687, G loss:2157.8046, D loss:37.8825, reg loss:15353.3658
test: movie: hr:0.2506,ndcg:0.1357,mrr:0.1010, book: hr:0.2819,ndcg:0.1660,mrr:0.1307
epoch:3, self loss:64330.2107, cross loss:59512.0012, G loss:2476.8718, D loss:26.3208, reg loss:7097.9278
test: movie: hr:0.2560,ndcg:0.1383,mrr:0.1028, book: hr:0.2888,ndcg:0.1685,mrr:0.1317
epoch:4, self loss:58344.1451, cross loss:55727.0303, G loss:2697.4182, D loss:20.1130, reg loss:5320.3964
test: movie: hr:0.2583,ndcg:0.1395,mrr:0.1035, book: hr:0.2903,ndcg:0.1698,mrr:0.1330
epoch:5, self loss:55103.0119, cross loss:54276.6497, G loss:2869.4548, D loss:16.8640, reg loss:4879.3729
test: movie: hr:0.2594,ndcg:0.1402,mrr:0.1041, book: hr:0.2922,ndcg:0.1707,mrr:0.1335
epoch:6, self loss:52257.9876, cross loss:51875.3111, G loss:2975.5628, D loss:15.3971, reg loss:4530.0599
test: movie: hr:0.2615,ndcg:0.1414,mrr:0.1051, book: hr:0.2969,ndcg:0.1729,mrr:0.1351
epoch:7, self loss:51300.4954, cross loss:51381.5068, G loss:3068.2076, D loss:13.2286, reg loss:4152.3189
test: movie: hr:0.2638,ndcg:0.1425,mrr:0.1059, book: hr:0.2985,ndcg:0.1739,mrr:0.1359
epoch:8, self loss:50884.8515, cross loss:51146.2079, G loss:3123.1019, D loss:11.9107, reg loss:3924.1874
test: movie: hr:0.2661,ndcg:0.1425,mrr:0.1052, book: hr:0.2967,ndcg:0.1728,mrr:0.1349
epoch:9, self loss:49968.4108, cross loss:50378.1349, G loss:3224.6167, D loss:10.5584, reg loss:3681.1307
test: movie: hr:0.2646,ndcg:0.1422,mrr:0.1053, book: hr:0.2935,ndcg:0.1716,mrr:0.1343
epoch:10, self loss:49438.8649, cross loss:49820.8606, G loss:3261.6258, D loss:10.7209, reg loss:3468.9250
test: movie: hr:0.2655,ndcg:0.1426,mrr:0.1054, book: hr:0.2973,ndcg:0.1729,mrr:0.1349
epoch:11, self loss:49541.9124, cross loss:49849.9243, G loss:3268.2264, D loss:10.0182, reg loss:3254.0001
test: movie: hr:0.2647,ndcg:0.1420,mrr:0.1049, book: hr:0.2986,ndcg:0.1740,mrr:0.1359
epoch:12, self loss:50156.0703, cross loss:50518.2137, G loss:3301.2466, D loss:8.9039, reg loss:3004.7732
test: movie: hr:0.2679,ndcg:0.1434,mrr:0.1059, book: hr:0.2986,ndcg:0.1736,mrr:0.1355
