epoch:0, self loss:6529259.8140, cross loss:5961034.5320, G loss:433.1773, D loss:512.5300, reg loss:8951.6826
test: movie: hr:0.0937,ndcg:0.0426,mrr:0.0275, book: hr:0.0978,ndcg:0.0445,mrr:0.0288
epoch:1, self loss:1401757.2282, cross loss:399028.1145, G loss:972.9414, D loss:231.4747, reg loss:93632.5547
test: movie: hr:0.1491,ndcg:0.0753,mrr:0.0533, book: hr:0.1581,ndcg:0.0842,mrr:0.0621
epoch:2, self loss:290457.7351, cross loss:170194.3149, G loss:1318.7286, D loss:132.1346, reg loss:65278.3663
test: movie: hr:0.2050,ndcg:0.1123,mrr:0.0843, book: hr:0.2225,ndcg:0.1312,mrr:0.1034
epoch:3, self loss:132941.9444, cross loss:84383.2276, G loss:1430.1339, D loss:97.8508, reg loss:34957.8360
test: movie: hr:0.2199,ndcg:0.1211,mrr:0.0913, book: hr:0.2455,ndcg:0.1449,mrr:0.1142
epoch:4, self loss:81548.1427, cross loss:65277.7554, G loss:1571.4976, D loss:78.5404, reg loss:24969.5701
test: movie: hr:0.2338,ndcg:0.1279,mrr:0.0959, book: hr:0.2596,ndcg:0.1531,mrr:0.1206
epoch:5, self loss:67853.2758, cross loss:61930.7939, G loss:1701.4241, D loss:62.4589, reg loss:19030.5968
test: movie: hr:0.2407,ndcg:0.1317,mrr:0.0987, book: hr:0.2694,ndcg:0.1592,mrr:0.1256
epoch:6, self loss:64222.1725, cross loss:61032.9062, G loss:1805.5953, D loss:53.7645, reg loss:14468.8738
test: movie: hr:0.2480,ndcg:0.1352,mrr:0.1011, book: hr:0.2763,ndcg:0.1645,mrr:0.1303
epoch:7, self loss:60907.3291, cross loss:59960.2436, G loss:1882.4166, D loss:47.4557, reg loss:10928.4426
test: movie: hr:0.2548,ndcg:0.1371,mrr:0.1015, book: hr:0.2818,ndcg:0.1671,mrr:0.1320
epoch:8, self loss:57336.3357, cross loss:58114.5534, G loss:1965.1039, D loss:41.3209, reg loss:8095.4013
test: movie: hr:0.2580,ndcg:0.1383,mrr:0.1021, book: hr:0.2864,ndcg:0.1685,mrr:0.1325
epoch:9, self loss:56211.0891, cross loss:57168.0049, G loss:2024.1372, D loss:38.6826, reg loss:5930.0166
test: movie: hr:0.2614,ndcg:0.1396,mrr:0.1029, book: hr:0.2904,ndcg:0.1701,mrr:0.1334
epoch:10, self loss:54774.9117, cross loss:55964.7417, G loss:2102.1821, D loss:32.6128, reg loss:4408.3731
test: movie: hr:0.2633,ndcg:0.1402,mrr:0.1032, book: hr:0.2928,ndcg:0.1716,mrr:0.1346
epoch:11, self loss:54259.1569, cross loss:55155.9320, G loss:2135.9542, D loss:32.1840, reg loss:3414.5148
test: movie: hr:0.2638,ndcg:0.1410,mrr:0.1039, book: hr:0.2941,ndcg:0.1719,mrr:0.1346
epoch:12, self loss:53474.0192, cross loss:55346.8100, G loss:2163.3243, D loss:27.5417, reg loss:2719.0137
test: movie: hr:0.2641,ndcg:0.1415,mrr:0.1045, book: hr:0.2939,ndcg:0.1722,mrr:0.1350
epoch:13, self loss:52706.9037, cross loss:54013.0699, G loss:2216.6843, D loss:26.3296, reg loss:2286.8531
test: movie: hr:0.2634,ndcg:0.1414,mrr:0.1046, book: hr:0.2935,ndcg:0.1720,mrr:0.1350
epoch:14, self loss:52007.7452, cross loss:53142.1748, G loss:2267.6775, D loss:24.5895, reg loss:1962.5922
test: movie: hr:0.2639,ndcg:0.1415,mrr:0.1045, book: hr:0.2951,ndcg:0.1724,mrr:0.1349
epoch:15, self loss:51829.7645, cross loss:53354.8049, G loss:2304.0432, D loss:23.0808, reg loss:1741.7605
test: movie: hr:0.2641,ndcg:0.1414,mrr:0.1043, book: hr:0.2946,ndcg:0.1728,mrr:0.1356
epoch:16, self loss:50700.1318, cross loss:52067.7898, G loss:2358.7982, D loss:21.0881, reg loss:1606.2628
test: movie: hr:0.2655,ndcg:0.1423,mrr:0.1050, book: hr:0.2966,ndcg:0.1730,mrr:0.1353
epoch:17, self loss:51162.0729, cross loss:52674.9011, G loss:2372.8507, D loss:21.0654, reg loss:1583.8792
test: movie: hr:0.2647,ndcg:0.1419,mrr:0.1047, book: hr:0.2981,ndcg:0.1741,mrr:0.1363
epoch:18, self loss:50767.3557, cross loss:51979.5150, G loss:2398.6046, D loss:18.5932, reg loss:1545.6498
test: movie: hr:0.2649,ndcg:0.1420,mrr:0.1049, book: hr:0.2996,ndcg:0.1746,mrr:0.1365
epoch:19, self loss:50373.1212, cross loss:51661.3521, G loss:2432.9962, D loss:18.0956, reg loss:1531.8979
test: movie: hr:0.2647,ndcg:0.1420,mrr:0.1050, book: hr:0.2990,ndcg:0.1744,mrr:0.1363
epoch:20, self loss:50937.7345, cross loss:52130.4259, G loss:2467.8932, D loss:17.3160, reg loss:1510.6765
test: movie: hr:0.2660,ndcg:0.1421,mrr:0.1047, book: hr:0.2993,ndcg:0.1749,mrr:0.1369
epoch:21, self loss:50236.3864, cross loss:51335.0927, G loss:2479.6356, D loss:17.2107, reg loss:1500.3235
test: movie: hr:0.2668,ndcg:0.1431,mrr:0.1058, book: hr:0.3016,ndcg:0.1759,mrr:0.1375
epoch:22, self loss:49318.7887, cross loss:50274.2763, G loss:2480.9359, D loss:17.0181, reg loss:1469.4042
test: movie: hr:0.2672,ndcg:0.1437,mrr:0.1064, book: hr:0.3024,ndcg:0.1769,mrr:0.1386
epoch:23, self loss:49775.1572, cross loss:50889.8984, G loss:2504.6977, D loss:16.1979, reg loss:1455.2192
test: movie: hr:0.2668,ndcg:0.1432,mrr:0.1058, book: hr:0.3032,ndcg:0.1766,mrr:0.1380
epoch:24, self loss:50500.3232, cross loss:51543.0281, G loss:2520.6942, D loss:13.3718, reg loss:1475.0762
test: movie: hr:0.2660,ndcg:0.1426,mrr:0.1053, book: hr:0.3029,ndcg:0.1764,mrr:0.1378
epoch:25, self loss:50031.0906, cross loss:50989.1239, G loss:2547.7222, D loss:14.7279, reg loss:1445.4009
test: movie: hr:0.2668,ndcg:0.1436,mrr:0.1063, book: hr:0.3049,ndcg:0.1776,mrr:0.1388
epoch:26, self loss:49562.2573, cross loss:50369.5370, G loss:2576.9944, D loss:14.9736, reg loss:1416.6353
test: movie: hr:0.2655,ndcg:0.1429,mrr:0.1058, book: hr:0.3062,ndcg:0.1784,mrr:0.1394
epoch:27, self loss:49492.9146, cross loss:50204.4362, G loss:2582.4713, D loss:14.1046, reg loss:1400.3379
test: movie: hr:0.2669,ndcg:0.1435,mrr:0.1062, book: hr:0.3082,ndcg:0.1798,mrr:0.1406
epoch:28, self loss:49700.5692, cross loss:50469.1324, G loss:2593.6055, D loss:13.8490, reg loss:1397.6292
test: movie: hr:0.2677,ndcg:0.1435,mrr:0.1060, book: hr:0.3076,ndcg:0.1792,mrr:0.1400
epoch:29, self loss:49757.5054, cross loss:50433.0367, G loss:2592.1002, D loss:13.2890, reg loss:1388.0337
test: movie: hr:0.2671,ndcg:0.1433,mrr:0.1059, book: hr:0.3059,ndcg:0.1780,mrr:0.1389
epoch:30, self loss:48359.7234, cross loss:49046.1496, G loss:2622.5449, D loss:13.0521, reg loss:1332.7638
test: movie: hr:0.2657,ndcg:0.1427,mrr:0.1055, book: hr:0.3088,ndcg:0.1797,mrr:0.1404
epoch:31, self loss:49017.5103, cross loss:49644.5749, G loss:2632.7656, D loss:11.6349, reg loss:1332.0079
test: movie: hr:0.2655,ndcg:0.1426,mrr:0.1054, book: hr:0.3082,ndcg:0.1798,mrr:0.1406
epoch:32, self loss:48392.7675, cross loss:48881.9134, G loss:2642.7140, D loss:13.0114, reg loss:1310.9460
test: movie: hr:0.2696,ndcg:0.1446,mrr:0.1068, book: hr:0.3094,ndcg:0.1808,mrr:0.1416
epoch:33, self loss:49969.1659, cross loss:50484.7211, G loss:2655.7895, D loss:11.0591, reg loss:1309.0165
test: movie: hr:0.2697,ndcg:0.1442,mrr:0.1064, book: hr:0.3108,ndcg:0.1805,mrr:0.1407
