epoch:0, self loss:3868869.6741, cross loss:2972764.6581, G loss:622.7088, D loss:330.6518, reg loss:162693.3510
test: movie: hr:0.1981,ndcg:0.1074,mrr:0.0800, book: hr:0.2026,ndcg:0.1195,mrr:0.0943
epoch:1, self loss:189274.4132, cross loss:127677.4864, G loss:1502.3240, D loss:84.2641, reg loss:76354.5162
test: movie: hr:0.2313,ndcg:0.1245,mrr:0.0922, book: hr:0.2604,ndcg:0.1536,mrr:0.1208
epoch:2, self loss:76614.6810, cross loss:63645.3331, G loss:2086.8793, D loss:43.1992, reg loss:16757.2797
test: movie: hr:0.2509,ndcg:0.1360,mrr:0.1013, book: hr:0.2830,ndcg:0.1662,mrr:0.1305
epoch:3, self loss:65998.0667, cross loss:59851.1621, G loss:2423.5700, D loss:29.8304, reg loss:7882.4569
test: movie: hr:0.2568,ndcg:0.1385,mrr:0.1027, book: hr:0.2877,ndcg:0.1682,mrr:0.1318
epoch:4, self loss:57525.9549, cross loss:54400.6018, G loss:2609.9697, D loss:23.4528, reg loss:5583.2110
test: movie: hr:0.2574,ndcg:0.1386,mrr:0.1027, book: hr:0.2863,ndcg:0.1679,mrr:0.1317
epoch:5, self loss:54907.3028, cross loss:53947.4354, G loss:2744.4047, D loss:20.2105, reg loss:5008.3949
test: movie: hr:0.2579,ndcg:0.1392,mrr:0.1034, book: hr:0.2903,ndcg:0.1701,mrr:0.1333
epoch:6, self loss:53326.7928, cross loss:53029.3618, G loss:2861.5629, D loss:18.3340, reg loss:4646.2317
test: movie: hr:0.2615,ndcg:0.1405,mrr:0.1039, book: hr:0.2908,ndcg:0.1708,mrr:0.1341
epoch:7, self loss:50836.3947, cross loss:50819.5491, G loss:2906.3131, D loss:16.2113, reg loss:4283.4442
test: movie: hr:0.2617,ndcg:0.1407,mrr:0.1041, book: hr:0.2906,ndcg:0.1711,mrr:0.1345
epoch:8, self loss:50128.5625, cross loss:50287.2291, G loss:2983.5309, D loss:14.7945, reg loss:3963.0307
test: movie: hr:0.2646,ndcg:0.1425,mrr:0.1056, book: hr:0.2957,ndcg:0.1731,mrr:0.1356
epoch:9, self loss:49935.9516, cross loss:50426.5855, G loss:3018.6514, D loss:14.0137, reg loss:3764.4754
test: movie: hr:0.2668,ndcg:0.1435,mrr:0.1062, book: hr:0.2935,ndcg:0.1714,mrr:0.1340
