epoch:0, self loss:2995792.6652, cross loss:2404734.3986, G loss:822.2719, D loss:272.5979, reg loss:124587.8579
test: movie: hr:0.3078,ndcg:0.1683,mrr:0.1260, book: hr:0.2123,ndcg:0.1155,mrr:0.0862
epoch:1, self loss:133111.4185, cross loss:106197.2790, G loss:1943.4172, D loss:47.0442, reg loss:28021.5706
test: movie: hr:0.3296,ndcg:0.1813,mrr:0.1363, book: hr:0.2277,ndcg:0.1218,mrr:0.0899
epoch:2, self loss:91643.2809, cross loss:83543.3415, G loss:2518.8398, D loss:23.8165, reg loss:9786.5640
test: movie: hr:0.3430,ndcg:0.1897,mrr:0.1431, book: hr:0.2410,ndcg:0.1322,mrr:0.0994
epoch:3, self loss:78078.3131, cross loss:73380.6285, G loss:2787.1071, D loss:16.7166, reg loss:5683.7217
test: movie: hr:0.3423,ndcg:0.1897,mrr:0.1433, book: hr:0.2518,ndcg:0.1363,mrr:0.1014
epoch:4, self loss:72254.8002, cross loss:70489.9829, G loss:2982.0448, D loss:12.6648, reg loss:4605.8636
test: movie: hr:0.3433,ndcg:0.1904,mrr:0.1440, book: hr:0.2586,ndcg:0.1396,mrr:0.1037
epoch:5, self loss:70229.8147, cross loss:69729.5380, G loss:3151.3682, D loss:9.6395, reg loss:4010.5896
test: movie: hr:0.3475,ndcg:0.1919,mrr:0.1446, book: hr:0.2634,ndcg:0.1420,mrr:0.1053
epoch:6, self loss:66941.4979, cross loss:67165.6219, G loss:3308.7127, D loss:8.5690, reg loss:3592.1313
test: movie: hr:0.3499,ndcg:0.1934,mrr:0.1458, book: hr:0.2645,ndcg:0.1423,mrr:0.1054
epoch:7, self loss:66937.5062, cross loss:67174.6743, G loss:3421.8501, D loss:7.3816, reg loss:3313.4986
test: movie: hr:0.3496,ndcg:0.1920,mrr:0.1441, book: hr:0.2666,ndcg:0.1437,mrr:0.1067
epoch:8, self loss:66187.5343, cross loss:66567.6539, G loss:3495.5318, D loss:6.8006, reg loss:3129.3385
test: movie: hr:0.3489,ndcg:0.1924,mrr:0.1448, book: hr:0.2661,ndcg:0.1435,mrr:0.1064
epoch:9, self loss:65198.6357, cross loss:65714.0703, G loss:3533.3825, D loss:6.2744, reg loss:2897.8367
test: movie: hr:0.3510,ndcg:0.1943,mrr:0.1467, book: hr:0.2684,ndcg:0.1441,mrr:0.1066
epoch:10, self loss:65114.2917, cross loss:65735.4032, G loss:3579.3659, D loss:5.6452, reg loss:2699.0305
test: movie: hr:0.3538,ndcg:0.1955,mrr:0.1473, book: hr:0.2679,ndcg:0.1435,mrr:0.1059
epoch:11, self loss:64832.2480, cross loss:65428.3704, G loss:3608.7496, D loss:5.3810, reg loss:2566.0480
test: movie: hr:0.3576,ndcg:0.1986,mrr:0.1503, book: hr:0.2704,ndcg:0.1458,mrr:0.1082
epoch:12, self loss:64361.9851, cross loss:64900.4461, G loss:3607.2106, D loss:5.3544, reg loss:2441.5517
test: movie: hr:0.3579,ndcg:0.1981,mrr:0.1496, book: hr:0.2732,ndcg:0.1475,mrr:0.1094
epoch:13, self loss:63138.4521, cross loss:63724.6291, G loss:3572.2191, D loss:5.5001, reg loss:2311.3472
test: movie: hr:0.3610,ndcg:0.1990,mrr:0.1496, book: hr:0.2781,ndcg:0.1516,mrr:0.1133
epoch:14, self loss:64403.1642, cross loss:65056.1430, G loss:3596.4315, D loss:5.1757, reg loss:2248.1547
test: movie: hr:0.3633,ndcg:0.2010,mrr:0.1516, book: hr:0.2803,ndcg:0.1521,mrr:0.1132
epoch:15, self loss:63527.8797, cross loss:64196.6240, G loss:3596.6042, D loss:5.7908, reg loss:2131.6432
test: movie: hr:0.3646,ndcg:0.2014,mrr:0.1519, book: hr:0.2842,ndcg:0.1554,mrr:0.1163
epoch:16, self loss:64467.9811, cross loss:65170.7622, G loss:3586.8254, D loss:4.8790, reg loss:2101.4674
test: movie: hr:0.3663,ndcg:0.2044,mrr:0.1552, book: hr:0.2875,ndcg:0.1573,mrr:0.1178
epoch:17, self loss:63482.5859, cross loss:63993.6104, G loss:3544.5808, D loss:5.4674, reg loss:1976.4657
test: movie: hr:0.3685,ndcg:0.2055,mrr:0.1559, book: hr:0.2911,ndcg:0.1595,mrr:0.1197
epoch:18, self loss:62960.7401, cross loss:63465.3576, G loss:3501.6421, D loss:5.4634, reg loss:1877.7378
test: movie: hr:0.3689,ndcg:0.2061,mrr:0.1567, book: hr:0.2929,ndcg:0.1605,mrr:0.1203
epoch:19, self loss:63081.0801, cross loss:63564.3033, G loss:3480.8574, D loss:5.1469, reg loss:1788.2191
test: movie: hr:0.3748,ndcg:0.2101,mrr:0.1600, book: hr:0.2989,ndcg:0.1639,mrr:0.1230
epoch:20, self loss:63460.2309, cross loss:63861.1344, G loss:3444.6495, D loss:5.4799, reg loss:1726.0415
test: movie: hr:0.3734,ndcg:0.2094,mrr:0.1594, book: hr:0.3021,ndcg:0.1660,mrr:0.1247
epoch:21, self loss:63574.4742, cross loss:63972.3534, G loss:3407.2225, D loss:5.4571, reg loss:1674.8810
test: movie: hr:0.3788,ndcg:0.2122,mrr:0.1615, book: hr:0.3028,ndcg:0.1679,mrr:0.1269
epoch:22, self loss:63182.9776, cross loss:63599.2540, G loss:3369.6928, D loss:5.5103, reg loss:1607.6929
test: movie: hr:0.3785,ndcg:0.2125,mrr:0.1620, book: hr:0.3101,ndcg:0.1722,mrr:0.1303
epoch:23, self loss:62538.6769, cross loss:62949.0738, G loss:3360.9632, D loss:5.7693, reg loss:1554.2514
test: movie: hr:0.3831,ndcg:0.2159,mrr:0.1650, book: hr:0.3125,ndcg:0.1737,mrr:0.1315
