epoch:0, self loss:3405682.8174, cross loss:2602649.2418, G loss:988.2667, D loss:224.0951, reg loss:318804.2725
test: movie: hr:0.3827,ndcg:0.2157,mrr:0.1648, book: hr:0.2419,ndcg:0.1459,mrr:0.1166
epoch:1, self loss:96830.6546, cross loss:87943.3691, G loss:2195.7695, D loss:37.8417, reg loss:21637.9645
test: movie: hr:0.4198,ndcg:0.2387,mrr:0.1835, book: hr:0.2914,ndcg:0.1770,mrr:0.1420
epoch:2, self loss:81689.2919, cross loss:77727.1857, G loss:2612.9039, D loss:21.5516, reg loss:13826.1880
test: movie: hr:0.4216,ndcg:0.2392,mrr:0.1836, book: hr:0.2961,ndcg:0.1781,mrr:0.1419
epoch:3, self loss:72569.7131, cross loss:71219.0245, G loss:2817.6190, D loss:15.8074, reg loss:12642.6413
test: movie: hr:0.4210,ndcg:0.2404,mrr:0.1853, book: hr:0.2986,ndcg:0.1798,mrr:0.1435
epoch:4, self loss:67175.2069, cross loss:67879.3594, G loss:2961.7367, D loss:13.2738, reg loss:11127.0601
test: movie: hr:0.4218,ndcg:0.2400,mrr:0.1845, book: hr:0.3011,ndcg:0.1815,mrr:0.1448
epoch:5, self loss:65724.4882, cross loss:67091.6836, G loss:3066.0846, D loss:11.5541, reg loss:10067.5761
test: movie: hr:0.4241,ndcg:0.2418,mrr:0.1862, book: hr:0.3066,ndcg:0.1843,mrr:0.1469
epoch:6, self loss:63752.1975, cross loss:64890.2778, G loss:3153.1751, D loss:10.4960, reg loss:9015.0428
test: movie: hr:0.4248,ndcg:0.2419,mrr:0.1860, book: hr:0.3081,ndcg:0.1850,mrr:0.1473
epoch:7, self loss:62654.3393, cross loss:63942.4548, G loss:3199.8298, D loss:9.1220, reg loss:8293.8282
test: movie: hr:0.4258,ndcg:0.2422,mrr:0.1862, book: hr:0.3101,ndcg:0.1857,mrr:0.1477
epoch:8, self loss:62576.9675, cross loss:63584.7865, G loss:3238.5290, D loss:9.1062, reg loss:7715.9421
test: movie: hr:0.4260,ndcg:0.2441,mrr:0.1886, book: hr:0.3084,ndcg:0.1848,mrr:0.1470
epoch:9, self loss:62197.2798, cross loss:63182.8847, G loss:3248.9527, D loss:8.5546, reg loss:7228.0120
test: movie: hr:0.4264,ndcg:0.2438,mrr:0.1882, book: hr:0.3100,ndcg:0.1867,mrr:0.1489
epoch:10, self loss:62858.7540, cross loss:63735.8501, G loss:3221.5907, D loss:8.5057, reg loss:6833.6868
test: movie: hr:0.4289,ndcg:0.2450,mrr:0.1890, book: hr:0.3107,ndcg:0.1866,mrr:0.1487
epoch:11, self loss:62527.2461, cross loss:63350.0359, G loss:3241.6352, D loss:7.8468, reg loss:6415.0520
test: movie: hr:0.4267,ndcg:0.2449,mrr:0.1894, book: hr:0.3099,ndcg:0.1862,mrr:0.1483
epoch:12, self loss:62491.4021, cross loss:63253.1657, G loss:3229.9241, D loss:7.6538, reg loss:6049.0466
test: movie: hr:0.4299,ndcg:0.2447,mrr:0.1882, book: hr:0.3104,ndcg:0.1864,mrr:0.1484
epoch:13, self loss:62679.5453, cross loss:63278.2309, G loss:3194.9212, D loss:7.8027, reg loss:5701.3654
test: movie: hr:0.4294,ndcg:0.2466,mrr:0.1909, book: hr:0.3138,ndcg:0.1886,mrr:0.1502
