epoch:0, self loss:6248687.3214, cross loss:5473414.1190, G loss:467.7472, D loss:469.8477, reg loss:6170.3550
test: movie: hr:0.1062,ndcg:0.0482,mrr:0.0310, book: hr:0.0996,ndcg:0.0437,mrr:0.0272
epoch:1, self loss:1653363.2961, cross loss:549209.9007, G loss:1513.9868, D loss:196.4982, reg loss:52998.5212
test: movie: hr:0.2645,ndcg:0.1478,mrr:0.1124, book: hr:0.1585,ndcg:0.0837,mrr:0.0613
epoch:2, self loss:491136.7872, cross loss:237249.1724, G loss:2070.9157, D loss:107.9249, reg loss:38694.1192
test: movie: hr:0.3094,ndcg:0.1701,mrr:0.1276, book: hr:0.2020,ndcg:0.1108,mrr:0.0832
epoch:3, self loss:189433.3767, cross loss:107131.4974, G loss:2120.1372, D loss:77.8811, reg loss:25804.1572
test: movie: hr:0.3186,ndcg:0.1759,mrr:0.1325, book: hr:0.2157,ndcg:0.1176,mrr:0.0880
epoch:4, self loss:105566.2284, cross loss:81148.5885, G loss:2242.2700, D loss:63.3494, reg loss:21818.2409
test: movie: hr:0.3274,ndcg:0.1809,mrr:0.1364, book: hr:0.2282,ndcg:0.1244,mrr:0.0931
epoch:5, self loss:86028.4714, cross loss:77511.8794, G loss:2363.3682, D loss:57.1419, reg loss:17989.7991
test: movie: hr:0.3357,ndcg:0.1862,mrr:0.1407, book: hr:0.2355,ndcg:0.1291,mrr:0.0970
epoch:6, self loss:77185.1311, cross loss:73413.0255, G loss:2485.2260, D loss:46.4264, reg loss:14510.6632
test: movie: hr:0.3416,ndcg:0.1887,mrr:0.1423, book: hr:0.2417,ndcg:0.1324,mrr:0.0994
epoch:7, self loss:73953.5565, cross loss:71987.0195, G loss:2593.8954, D loss:42.1950, reg loss:11778.8525
test: movie: hr:0.3416,ndcg:0.1894,mrr:0.1431, book: hr:0.2510,ndcg:0.1364,mrr:0.1017
epoch:8, self loss:71210.4503, cross loss:70704.2689, G loss:2622.5781, D loss:38.7552, reg loss:9663.4937
test: movie: hr:0.3425,ndcg:0.1895,mrr:0.1430, book: hr:0.2539,ndcg:0.1379,mrr:0.1029
epoch:9, self loss:70505.9006, cross loss:70620.4523, G loss:2712.9268, D loss:35.9055, reg loss:7951.6998
test: movie: hr:0.3449,ndcg:0.1907,mrr:0.1439, book: hr:0.2582,ndcg:0.1391,mrr:0.1032
epoch:10, self loss:68817.8179, cross loss:69074.5732, G loss:2756.0199, D loss:31.9867, reg loss:6520.2090
test: movie: hr:0.3450,ndcg:0.1907,mrr:0.1438, book: hr:0.2596,ndcg:0.1399,mrr:0.1038
epoch:11, self loss:67728.0177, cross loss:68405.2168, G loss:2787.1094, D loss:30.7072, reg loss:5367.0872
test: movie: hr:0.3439,ndcg:0.1907,mrr:0.1441, book: hr:0.2605,ndcg:0.1410,mrr:0.1049
epoch:12, self loss:67093.8049, cross loss:68037.7939, G loss:2856.8386, D loss:28.8817, reg loss:4386.6881
test: movie: hr:0.3450,ndcg:0.1917,mrr:0.1450, book: hr:0.2623,ndcg:0.1411,mrr:0.1046
epoch:13, self loss:66507.2297, cross loss:67473.4375, G loss:2887.2482, D loss:27.4932, reg loss:3623.2438
test: movie: hr:0.3470,ndcg:0.1927,mrr:0.1457, book: hr:0.2644,ndcg:0.1421,mrr:0.1052
epoch:14, self loss:66503.8303, cross loss:67644.7584, G loss:2910.6746, D loss:24.3949, reg loss:3137.8028
test: movie: hr:0.3474,ndcg:0.1924,mrr:0.1453, book: hr:0.2632,ndcg:0.1420,mrr:0.1054
epoch:15, self loss:67636.1264, cross loss:68828.3444, G loss:2910.5783, D loss:24.1329, reg loss:2793.9902
test: movie: hr:0.3466,ndcg:0.1933,mrr:0.1466, book: hr:0.2639,ndcg:0.1421,mrr:0.1054
epoch:16, self loss:66380.8931, cross loss:67416.1111, G loss:3020.0671, D loss:22.5295, reg loss:2468.8296
test: movie: hr:0.3486,ndcg:0.1935,mrr:0.1463, book: hr:0.2647,ndcg:0.1427,mrr:0.1058
epoch:17, self loss:65513.2092, cross loss:66576.9000, G loss:3039.6975, D loss:20.8929, reg loss:2197.4895
test: movie: hr:0.3513,ndcg:0.1944,mrr:0.1467, book: hr:0.2642,ndcg:0.1423,mrr:0.1055
epoch:18, self loss:64953.1858, cross loss:65984.8644, G loss:3089.3623, D loss:21.2827, reg loss:1969.2008
test: movie: hr:0.3517,ndcg:0.1949,mrr:0.1471, book: hr:0.2659,ndcg:0.1428,mrr:0.1056
epoch:19, self loss:65036.5813, cross loss:66002.5231, G loss:3080.9365, D loss:20.3801, reg loss:1820.2799
test: movie: hr:0.3518,ndcg:0.1954,mrr:0.1478, book: hr:0.2647,ndcg:0.1429,mrr:0.1061
epoch:20, self loss:66117.9961, cross loss:67006.0521, G loss:3062.6829, D loss:20.1392, reg loss:1734.5946
test: movie: hr:0.3531,ndcg:0.1957,mrr:0.1478, book: hr:0.2666,ndcg:0.1433,mrr:0.1061
epoch:21, self loss:65094.0666, cross loss:65970.3200, G loss:3083.0875, D loss:18.1010, reg loss:1661.2005
test: movie: hr:0.3530,ndcg:0.1964,mrr:0.1488, book: hr:0.2672,ndcg:0.1437,mrr:0.1065
epoch:22, self loss:65982.5128, cross loss:66950.3223, G loss:3099.1832, D loss:17.3121, reg loss:1610.6450
test: movie: hr:0.3524,ndcg:0.1957,mrr:0.1480, book: hr:0.2664,ndcg:0.1427,mrr:0.1054
epoch:23, self loss:64747.4088, cross loss:65466.7494, G loss:3131.9985, D loss:15.8968, reg loss:1548.2925
test: movie: hr:0.3553,ndcg:0.1971,mrr:0.1490, book: hr:0.2673,ndcg:0.1436,mrr:0.1063
epoch:24, self loss:65503.4134, cross loss:66184.2364, G loss:3156.9001, D loss:16.2748, reg loss:1513.9238
test: movie: hr:0.3555,ndcg:0.1976,mrr:0.1495, book: hr:0.2652,ndcg:0.1429,mrr:0.1059
epoch:25, self loss:63895.0790, cross loss:64568.0060, G loss:3181.5803, D loss:17.4848, reg loss:1475.8390
test: movie: hr:0.3553,ndcg:0.1972,mrr:0.1490, book: hr:0.2639,ndcg:0.1431,mrr:0.1066
