epoch:0, self loss:3443585.4041, cross loss:2606222.0004, G loss:706.3801, D loss:295.5050, reg loss:191615.2970
test: movie: hr:0.2009,ndcg:0.1089,mrr:0.0812, book: hr:0.2208,ndcg:0.1333,mrr:0.1066
epoch:1, self loss:141108.2534, cross loss:104508.0478, G loss:1642.1616, D loss:66.7870, reg loss:51388.3142
test: movie: hr:0.2335,ndcg:0.1266,mrr:0.0944, book: hr:0.2581,ndcg:0.1515,mrr:0.1189
epoch:2, self loss:69306.1611, cross loss:63185.9330, G loss:2247.8329, D loss:31.9023, reg loss:11386.2249
test: movie: hr:0.2513,ndcg:0.1361,mrr:0.1013, book: hr:0.2823,ndcg:0.1670,mrr:0.1317
epoch:3, self loss:61485.9655, cross loss:58070.0059, G loss:2506.6984, D loss:22.4140, reg loss:6240.2153
test: movie: hr:0.2606,ndcg:0.1400,mrr:0.1036, book: hr:0.2859,ndcg:0.1678,mrr:0.1317
epoch:4, self loss:56782.2427, cross loss:55391.1930, G loss:2655.3930, D loss:18.3033, reg loss:5300.2041
test: movie: hr:0.2618,ndcg:0.1400,mrr:0.1033, book: hr:0.2888,ndcg:0.1685,mrr:0.1318
epoch:5, self loss:53634.3558, cross loss:53310.9526, G loss:2828.0504, D loss:14.2528, reg loss:4741.0549
test: movie: hr:0.2621,ndcg:0.1407,mrr:0.1040, book: hr:0.2911,ndcg:0.1707,mrr:0.1340
epoch:6, self loss:52589.3007, cross loss:52935.4005, G loss:2965.4825, D loss:12.1205, reg loss:4345.9996
test: movie: hr:0.2641,ndcg:0.1412,mrr:0.1041, book: hr:0.2931,ndcg:0.1708,mrr:0.1335
epoch:7, self loss:51449.2207, cross loss:51952.6399, G loss:3037.3973, D loss:10.8712, reg loss:3976.5776
test: movie: hr:0.2637,ndcg:0.1413,mrr:0.1043, book: hr:0.2937,ndcg:0.1718,mrr:0.1346
epoch:8, self loss:50226.4189, cross loss:50862.1870, G loss:3147.6995, D loss:9.2660, reg loss:3692.9122
test: movie: hr:0.2671,ndcg:0.1436,mrr:0.1063, book: hr:0.2964,ndcg:0.1725,mrr:0.1347
epoch:9, self loss:50213.4973, cross loss:50667.5055, G loss:3205.6773, D loss:9.1180, reg loss:3476.3321
test: movie: hr:0.2655,ndcg:0.1423,mrr:0.1051, book: hr:0.2958,ndcg:0.1726,mrr:0.1350
epoch:10, self loss:49268.1204, cross loss:49882.5090, G loss:3253.1002, D loss:8.5873, reg loss:3203.4645
test: movie: hr:0.2658,ndcg:0.1428,mrr:0.1056, book: hr:0.2985,ndcg:0.1744,mrr:0.1365
epoch:11, self loss:49691.0791, cross loss:50377.5570, G loss:3266.0014, D loss:8.1929, reg loss:3052.2281
test: movie: hr:0.2661,ndcg:0.1427,mrr:0.1055, book: hr:0.3026,ndcg:0.1762,mrr:0.1376
epoch:12, self loss:49016.0703, cross loss:49568.8941, G loss:3255.0556, D loss:7.6021, reg loss:2883.9986
test: movie: hr:0.2671,ndcg:0.1435,mrr:0.1061, book: hr:0.3058,ndcg:0.1788,mrr:0.1401
epoch:13, self loss:48741.2917, cross loss:49233.6659, G loss:3311.8670, D loss:7.1660, reg loss:2670.6449
test: movie: hr:0.2680,ndcg:0.1446,mrr:0.1073, book: hr:0.3081,ndcg:0.1803,mrr:0.1412
epoch:14, self loss:49109.7997, cross loss:49576.1810, G loss:3311.6360, D loss:7.1652, reg loss:2531.5136
test: movie: hr:0.2676,ndcg:0.1436,mrr:0.1062, book: hr:0.3112,ndcg:0.1816,mrr:0.1421
epoch:15, self loss:49281.1741, cross loss:49801.0884, G loss:3317.4403, D loss:6.8893, reg loss:2438.2468
test: movie: hr:0.2656,ndcg:0.1430,mrr:0.1060, book: hr:0.3106,ndcg:0.1816,mrr:0.1423
epoch:16, self loss:49184.4655, cross loss:49677.1499, G loss:3294.4369, D loss:7.3423, reg loss:2340.3847
test: movie: hr:0.2683,ndcg:0.1446,mrr:0.1072, book: hr:0.3100,ndcg:0.1823,mrr:0.1434
epoch:17, self loss:48648.6363, cross loss:48941.6301, G loss:3278.0932, D loss:6.7435, reg loss:2212.1327
test: movie: hr:0.2723,ndcg:0.1452,mrr:0.1068, book: hr:0.3132,ndcg:0.1837,mrr:0.1442
epoch:18, self loss:48455.8639, cross loss:48644.3911, G loss:3242.4280, D loss:6.9892, reg loss:2116.8032
test: movie: hr:0.2701,ndcg:0.1460,mrr:0.1085, book: hr:0.3149,ndcg:0.1840,mrr:0.1440
epoch:19, self loss:48523.5076, cross loss:48858.0460, G loss:3225.8863, D loss:7.1611, reg loss:2047.0828
test: movie: hr:0.2737,ndcg:0.1470,mrr:0.1088, book: hr:0.3153,ndcg:0.1841,mrr:0.1441
epoch:20, self loss:48674.2501, cross loss:48964.5682, G loss:3187.9533, D loss:6.9759, reg loss:1975.2425
test: movie: hr:0.2737,ndcg:0.1471,mrr:0.1088, book: hr:0.3135,ndcg:0.1832,mrr:0.1434
epoch:21, self loss:48076.7670, cross loss:48421.5142, G loss:3176.6659, D loss:6.5444, reg loss:1905.3769
test: movie: hr:0.2705,ndcg:0.1474,mrr:0.1101, book: hr:0.3157,ndcg:0.1842,mrr:0.1440
epoch:22, self loss:47732.3059, cross loss:48045.7059, G loss:3191.5590, D loss:6.2528, reg loss:1818.9478
test: movie: hr:0.2744,ndcg:0.1498,mrr:0.1121, book: hr:0.3145,ndcg:0.1841,mrr:0.1443
epoch:23, self loss:46858.2114, cross loss:47184.9693, G loss:3186.2432, D loss:7.1353, reg loss:1778.4826
test: movie: hr:0.2744,ndcg:0.1496,mrr:0.1118, book: hr:0.3133,ndcg:0.1838,mrr:0.1443
epoch:24, self loss:47318.7703, cross loss:47596.8645, G loss:3132.0239, D loss:6.5244, reg loss:1714.5468
test: movie: hr:0.2765,ndcg:0.1506,mrr:0.1126, book: hr:0.3190,ndcg:0.1857,mrr:0.1451
epoch:25, self loss:48236.6366, cross loss:48511.7185, G loss:3134.2029, D loss:6.6239, reg loss:1670.7497
test: movie: hr:0.2776,ndcg:0.1528,mrr:0.1150, book: hr:0.3195,ndcg:0.1854,mrr:0.1445
epoch:26, self loss:47634.4328, cross loss:47911.6817, G loss:3127.1560, D loss:6.3129, reg loss:1645.8018
test: movie: hr:0.2787,ndcg:0.1517,mrr:0.1133, book: hr:0.3163,ndcg:0.1859,mrr:0.1461
epoch:27, self loss:47235.1394, cross loss:47519.7498, G loss:3099.6135, D loss:6.4549, reg loss:1589.1648
test: movie: hr:0.2812,ndcg:0.1543,mrr:0.1159, book: hr:0.3209,ndcg:0.1872,mrr:0.1465
epoch:28, self loss:47912.0069, cross loss:48171.1692, G loss:3084.6847, D loss:6.6432, reg loss:1565.1208
test: movie: hr:0.2826,ndcg:0.1551,mrr:0.1165, book: hr:0.3212,ndcg:0.1871,mrr:0.1462
epoch:29, self loss:48025.6875, cross loss:48387.5640, G loss:3060.8644, D loss:6.4604, reg loss:1577.2845
test: movie: hr:0.2831,ndcg:0.1553,mrr:0.1166, book: hr:0.3198,ndcg:0.1874,mrr:0.1471
epoch:30, self loss:47570.3787, cross loss:47875.5138, G loss:3025.1385, D loss:6.6205, reg loss:1508.2085
test: movie: hr:0.2814,ndcg:0.1560,mrr:0.1180, book: hr:0.3195,ndcg:0.1874,mrr:0.1471
epoch:31, self loss:47618.9529, cross loss:47631.6134, G loss:3042.1395, D loss:6.5457, reg loss:1470.6369
test: movie: hr:0.2861,ndcg:0.1588,mrr:0.1203, book: hr:0.3230,ndcg:0.1879,mrr:0.1468
epoch:32, self loss:48144.3438, cross loss:48393.4651, G loss:3011.4824, D loss:7.1385, reg loss:1455.4229
test: movie: hr:0.2856,ndcg:0.1577,mrr:0.1188, book: hr:0.3245,ndcg:0.1895,mrr:0.1483
epoch:33, self loss:47629.3480, cross loss:47884.4651, G loss:3026.7598, D loss:6.4168, reg loss:1420.4981
test: movie: hr:0.2873,ndcg:0.1587,mrr:0.1197, book: hr:0.3246,ndcg:0.1898,mrr:0.1488
epoch:34, self loss:47572.6486, cross loss:47843.6178, G loss:3011.6548, D loss:6.6894, reg loss:1416.2772
test: movie: hr:0.2872,ndcg:0.1592,mrr:0.1204, book: hr:0.3249,ndcg:0.1899,mrr:0.1487
epoch:35, self loss:47576.7305, cross loss:47895.7724, G loss:2997.5248, D loss:6.0592, reg loss:1388.3648
test: movie: hr:0.2897,ndcg:0.1598,mrr:0.1204, book: hr:0.3243,ndcg:0.1900,mrr:0.1491
epoch:36, self loss:46738.1668, cross loss:47022.2515, G loss:3007.6679, D loss:6.3573, reg loss:1359.0056
test: movie: hr:0.2934,ndcg:0.1618,mrr:0.1219, book: hr:0.3257,ndcg:0.1904,mrr:0.1492
epoch:37, self loss:47855.9644, cross loss:48122.6022, G loss:2965.9712, D loss:6.5689, reg loss:1336.0479
test: movie: hr:0.2925,ndcg:0.1612,mrr:0.1214, book: hr:0.3280,ndcg:0.1925,mrr:0.1512
epoch:38, self loss:47766.9655, cross loss:47990.1471, G loss:2927.5254, D loss:6.6337, reg loss:1332.1085
test: movie: hr:0.2911,ndcg:0.1619,mrr:0.1228, book: hr:0.3296,ndcg:0.1922,mrr:0.1504
epoch:39, self loss:46757.3612, cross loss:47001.3449, G loss:2975.9172, D loss:6.3434, reg loss:1298.9214
test: movie: hr:0.2939,ndcg:0.1638,mrr:0.1243, book: hr:0.3293,ndcg:0.1934,mrr:0.1520
epoch:40, self loss:47304.9658, cross loss:47517.2108, G loss:2974.4572, D loss:6.0326, reg loss:1274.2563
test: movie: hr:0.2965,ndcg:0.1636,mrr:0.1234, book: hr:0.3326,ndcg:0.1945,mrr:0.1524
epoch:41, self loss:46214.4378, cross loss:46421.0803, G loss:2988.8736, D loss:5.9520, reg loss:1250.5121
test: movie: hr:0.2933,ndcg:0.1634,mrr:0.1241, book: hr:0.3360,ndcg:0.1964,mrr:0.1539
epoch:42, self loss:47077.8089, cross loss:47292.8766, G loss:2966.0686, D loss:6.4162, reg loss:1231.5596
test: movie: hr:0.2962,ndcg:0.1647,mrr:0.1249, book: hr:0.3345,ndcg:0.1968,mrr:0.1548
epoch:43, self loss:47172.7709, cross loss:47457.1673, G loss:2969.8268, D loss:5.9010, reg loss:1246.8447
test: movie: hr:0.2942,ndcg:0.1644,mrr:0.1251, book: hr:0.3394,ndcg:0.1984,mrr:0.1555
epoch:44, self loss:46848.6570, cross loss:47158.1465, G loss:2960.5462, D loss:6.0771, reg loss:1217.3706
test: movie: hr:0.2997,ndcg:0.1670,mrr:0.1267, book: hr:0.3377,ndcg:0.1993,mrr:0.1571
epoch:45, self loss:46388.4002, cross loss:46787.6215, G loss:2946.4596, D loss:5.9758, reg loss:1215.7648
test: movie: hr:0.2966,ndcg:0.1651,mrr:0.1251, book: hr:0.3376,ndcg:0.1987,mrr:0.1565
epoch:46, self loss:46556.8467, cross loss:46946.2341, G loss:2909.7801, D loss:6.4634, reg loss:1229.8881
test: movie: hr:0.2993,ndcg:0.1678,mrr:0.1280, book: hr:0.3425,ndcg:0.2001,mrr:0.1567
epoch:47, self loss:46511.5531, cross loss:46815.2371, G loss:2881.0765, D loss:5.6520, reg loss:1189.4310
test: movie: hr:0.3002,ndcg:0.1674,mrr:0.1271, book: hr:0.3409,ndcg:0.2011,mrr:0.1586
epoch:48, self loss:46864.7652, cross loss:47262.2656, G loss:2857.5428, D loss:5.9276, reg loss:1206.1912
test: movie: hr:0.3011,ndcg:0.1681,mrr:0.1277, book: hr:0.3411,ndcg:0.2017,mrr:0.1591
epoch:49, self loss:46915.7640, cross loss:47195.2563, G loss:2844.3106, D loss:7.2331, reg loss:1183.7197
test: movie: hr:0.3038,ndcg:0.1707,mrr:0.1304, book: hr:0.3444,ndcg:0.2036,mrr:0.1607
epoch:50, self loss:46107.2311, cross loss:46333.7776, G loss:2899.9618, D loss:6.0901, reg loss:1174.1598
test: movie: hr:0.3044,ndcg:0.1705,mrr:0.1299, book: hr:0.3462,ndcg:0.2033,mrr:0.1597
epoch:51, self loss:47549.0878, cross loss:47725.7270, G loss:2945.8216, D loss:5.4229, reg loss:1164.6384
test: movie: hr:0.3052,ndcg:0.1716,mrr:0.1310, book: hr:0.3482,ndcg:0.2056,mrr:0.1622
epoch:52, self loss:47299.9877, cross loss:47485.7790, G loss:2969.1552, D loss:5.3454, reg loss:1201.9331
test: movie: hr:0.3079,ndcg:0.1723,mrr:0.1311, book: hr:0.3499,ndcg:0.2076,mrr:0.1643
