epoch:0, self loss:7078461.2874, cross loss:5454150.5035, G loss:644.8869, D loss:403.2532, reg loss:179439.1350
test: movie: hr:0.2262,ndcg:0.1221,mrr:0.0907, book: hr:0.1400,ndcg:0.0702,mrr:0.0494
epoch:1, self loss:391281.3946, cross loss:218615.6288, G loss:1787.3754, D loss:106.9600, reg loss:171123.7102
test: movie: hr:0.3827,ndcg:0.2123,mrr:0.1605, book: hr:0.2221,ndcg:0.1340,mrr:0.1072
epoch:2, self loss:125148.1745, cross loss:97061.3675, G loss:2193.2570, D loss:60.5786, reg loss:49316.3651
test: movie: hr:0.4088,ndcg:0.2312,mrr:0.1771, book: hr:0.2471,ndcg:0.1517,mrr:0.1226
epoch:3, self loss:86682.4836, cross loss:81509.3621, G loss:2475.4687, D loss:47.4425, reg loss:19418.7253
test: movie: hr:0.4193,ndcg:0.2372,mrr:0.1817, book: hr:0.2779,ndcg:0.1702,mrr:0.1372
epoch:4, self loss:80476.0560, cross loss:77623.8512, G loss:2644.9667, D loss:39.1582, reg loss:8682.9828
test: movie: hr:0.4191,ndcg:0.2374,mrr:0.1820, book: hr:0.2930,ndcg:0.1784,mrr:0.1433
epoch:5, self loss:73800.1862, cross loss:73956.5621, G loss:2734.2593, D loss:33.8873, reg loss:5659.1364
test: movie: hr:0.4202,ndcg:0.2378,mrr:0.1823, book: hr:0.3012,ndcg:0.1818,mrr:0.1452
epoch:6, self loss:69377.0690, cross loss:70888.1946, G loss:2855.9228, D loss:29.2543, reg loss:4941.8008
test: movie: hr:0.4211,ndcg:0.2386,mrr:0.1830, book: hr:0.3034,ndcg:0.1830,mrr:0.1461
epoch:7, self loss:67763.5359, cross loss:69375.5548, G loss:2962.4330, D loss:27.1178, reg loss:4582.8674
test: movie: hr:0.4233,ndcg:0.2397,mrr:0.1838, book: hr:0.3049,ndcg:0.1832,mrr:0.1459
epoch:8, self loss:66853.9966, cross loss:68600.2800, G loss:2998.9308, D loss:24.8047, reg loss:4283.2937
test: movie: hr:0.4237,ndcg:0.2401,mrr:0.1842, book: hr:0.3057,ndcg:0.1836,mrr:0.1463
epoch:9, self loss:65967.1106, cross loss:67858.1868, G loss:3036.4271, D loss:21.7825, reg loss:4052.3219
test: movie: hr:0.4255,ndcg:0.2420,mrr:0.1861, book: hr:0.3080,ndcg:0.1851,mrr:0.1475
epoch:10, self loss:65080.1111, cross loss:67300.1041, G loss:3069.0616, D loss:21.8605, reg loss:3817.8064
test: movie: hr:0.4277,ndcg:0.2441,mrr:0.1881, book: hr:0.3079,ndcg:0.1843,mrr:0.1465
epoch:11, self loss:63861.1662, cross loss:66007.5168, G loss:3147.1106, D loss:19.7497, reg loss:3637.9568
test: movie: hr:0.4295,ndcg:0.2459,mrr:0.1899, book: hr:0.3069,ndcg:0.1847,mrr:0.1472
epoch:12, self loss:64115.6282, cross loss:66075.7670, G loss:3121.3875, D loss:20.2874, reg loss:3494.4822
test: movie: hr:0.4324,ndcg:0.2468,mrr:0.1903, book: hr:0.3105,ndcg:0.1861,mrr:0.1480
epoch:13, self loss:63733.9386, cross loss:65635.1646, G loss:3140.2224, D loss:18.9107, reg loss:3358.6244
test: movie: hr:0.4321,ndcg:0.2480,mrr:0.1919, book: hr:0.3086,ndcg:0.1851,mrr:0.1472
epoch:14, self loss:63224.8832, cross loss:65182.4480, G loss:3151.8787, D loss:17.2201, reg loss:3224.9717
test: movie: hr:0.4324,ndcg:0.2486,mrr:0.1925, book: hr:0.3095,ndcg:0.1857,mrr:0.1478
epoch:15, self loss:62623.3223, cross loss:64397.9297, G loss:3162.1359, D loss:17.3679, reg loss:3078.5518
test: movie: hr:0.4350,ndcg:0.2505,mrr:0.1943, book: hr:0.3117,ndcg:0.1866,mrr:0.1483
epoch:16, self loss:62253.4662, cross loss:63925.0875, G loss:3159.7967, D loss:16.5004, reg loss:2974.6931
test: movie: hr:0.4363,ndcg:0.2509,mrr:0.1943, book: hr:0.3129,ndcg:0.1871,mrr:0.1487
epoch:17, self loss:62632.0449, cross loss:64300.8688, G loss:3174.3788, D loss:16.2760, reg loss:2888.5764
test: movie: hr:0.4372,ndcg:0.2518,mrr:0.1952, book: hr:0.3128,ndcg:0.1870,mrr:0.1486
