epoch:0, self loss:4877349.3899, cross loss:3855792.6734, G loss:545.3077, D loss:401.4611, reg loss:39738.1691
test: movie: hr:0.1666,ndcg:0.0847,mrr:0.0600, book: hr:0.1239,ndcg:0.0593,mrr:0.0400
epoch:1, self loss:531618.9591, cross loss:422024.7150, G loss:1614.1142, D loss:121.2714, reg loss:87609.3947
test: movie: hr:0.3213,ndcg:0.1741,mrr:0.1294, book: hr:0.2221,ndcg:0.1212,mrr:0.0907
epoch:2, self loss:141016.1114, cross loss:106530.9137, G loss:2006.2793, D loss:65.6764, reg loss:24638.3225
test: movie: hr:0.3318,ndcg:0.1821,mrr:0.1365, book: hr:0.2361,ndcg:0.1291,mrr:0.0967
epoch:3, self loss:91622.5052, cross loss:85406.7297, G loss:2326.9986, D loss:47.7829, reg loss:16119.2965
test: movie: hr:0.3393,ndcg:0.1874,mrr:0.1412, book: hr:0.2464,ndcg:0.1342,mrr:0.1002
epoch:4, self loss:83190.0103, cross loss:79904.4304, G loss:2485.2476, D loss:38.5537, reg loss:10589.5603
test: movie: hr:0.3447,ndcg:0.1895,mrr:0.1423, book: hr:0.2553,ndcg:0.1379,mrr:0.1024
epoch:5, self loss:76731.6548, cross loss:75312.5000, G loss:2635.2318, D loss:32.3404, reg loss:7071.1768
test: movie: hr:0.3441,ndcg:0.1894,mrr:0.1425, book: hr:0.2588,ndcg:0.1387,mrr:0.1025
epoch:6, self loss:74683.1087, cross loss:73949.5360, G loss:2741.2347, D loss:27.8512, reg loss:4926.9984
test: movie: hr:0.3464,ndcg:0.1909,mrr:0.1436, book: hr:0.2608,ndcg:0.1403,mrr:0.1039
epoch:7, self loss:72579.7082, cross loss:71999.6822, G loss:2801.9758, D loss:24.9303, reg loss:3691.8103
test: movie: hr:0.3462,ndcg:0.1914,mrr:0.1444, book: hr:0.2603,ndcg:0.1400,mrr:0.1037
epoch:8, self loss:69255.5329, cross loss:69406.9806, G loss:2899.5220, D loss:22.8414, reg loss:2920.3883
test: movie: hr:0.3481,ndcg:0.1925,mrr:0.1452, book: hr:0.2612,ndcg:0.1412,mrr:0.1050
epoch:9, self loss:68364.5137, cross loss:68669.4522, G loss:2957.2860, D loss:20.3843, reg loss:2427.9072
test: movie: hr:0.3491,ndcg:0.1935,mrr:0.1462, book: hr:0.2640,ndcg:0.1422,mrr:0.1054
epoch:10, self loss:67970.1166, cross loss:68798.4384, G loss:2974.1821, D loss:18.6157, reg loss:2160.4400
test: movie: hr:0.3506,ndcg:0.1947,mrr:0.1473, book: hr:0.2638,ndcg:0.1425,mrr:0.1059
epoch:11, self loss:67098.2243, cross loss:67433.9746, G loss:2999.0605, D loss:17.7496, reg loss:2053.8784
test: movie: hr:0.3522,ndcg:0.1953,mrr:0.1475, book: hr:0.2654,ndcg:0.1427,mrr:0.1057
epoch:12, self loss:66115.7899, cross loss:66744.1912, G loss:3059.8582, D loss:16.1455, reg loss:1996.4831
test: movie: hr:0.3550,ndcg:0.1962,mrr:0.1478, book: hr:0.2678,ndcg:0.1435,mrr:0.1060
epoch:13, self loss:65988.5485, cross loss:66573.8108, G loss:3089.2455, D loss:14.8130, reg loss:1963.3720
