epoch:0, self loss:4055538.6957, cross loss:3157642.3914, G loss:700.3193, D loss:345.2439, reg loss:83755.8974
test: movie: hr:0.2770,ndcg:0.1532,mrr:0.1155, book: hr:0.1930,ndcg:0.1037,mrr:0.0768
epoch:1, self loss:298441.5666, cross loss:264208.1079, G loss:1684.2177, D loss:90.4704, reg loss:60466.9104
test: movie: hr:0.3224,ndcg:0.1735,mrr:0.1284, book: hr:0.2344,ndcg:0.1254,mrr:0.0925
epoch:2, self loss:100069.5006, cross loss:89436.3754, G loss:2225.7124, D loss:47.7926, reg loss:19692.2085
test: movie: hr:0.3359,ndcg:0.1865,mrr:0.1411, book: hr:0.2440,ndcg:0.1332,mrr:0.0998
epoch:3, self loss:88004.9816, cross loss:81788.6717, G loss:2540.2300, D loss:33.1752, reg loss:10490.3751
test: movie: hr:0.3416,ndcg:0.1886,mrr:0.1421, book: hr:0.2546,ndcg:0.1381,mrr:0.1030
epoch:4, self loss:79108.1579, cross loss:76184.0755, G loss:2706.8274, D loss:27.0315, reg loss:6108.1742
test: movie: hr:0.3416,ndcg:0.1892,mrr:0.1429, book: hr:0.2595,ndcg:0.1403,mrr:0.1043
epoch:5, self loss:74203.2954, cross loss:72281.7029, G loss:2916.2385, D loss:21.3726, reg loss:4000.1524
test: movie: hr:0.3447,ndcg:0.1906,mrr:0.1438, book: hr:0.2625,ndcg:0.1419,mrr:0.1056
epoch:6, self loss:71770.6431, cross loss:71092.5956, G loss:3004.4252, D loss:19.8013, reg loss:3153.0691
test: movie: hr:0.3452,ndcg:0.1903,mrr:0.1432, book: hr:0.2628,ndcg:0.1419,mrr:0.1054
epoch:7, self loss:70810.7533, cross loss:70750.8052, G loss:3052.0505, D loss:17.4795, reg loss:2833.1195
test: movie: hr:0.3464,ndcg:0.1912,mrr:0.1440, book: hr:0.2617,ndcg:0.1411,mrr:0.1046
epoch:8, self loss:67875.0836, cross loss:68206.8623, G loss:3173.8577, D loss:16.0379, reg loss:2668.5703
test: movie: hr:0.3511,ndcg:0.1945,mrr:0.1468, book: hr:0.2645,ndcg:0.1423,mrr:0.1054
epoch:9, self loss:66491.2095, cross loss:67021.3406, G loss:3207.6315, D loss:14.8615, reg loss:2548.1662
test: movie: hr:0.3552,ndcg:0.1961,mrr:0.1477, book: hr:0.2643,ndcg:0.1421,mrr:0.1052
epoch:10, self loss:66432.0127, cross loss:66853.9850, G loss:3247.6414, D loss:13.7590, reg loss:2507.0312
test: movie: hr:0.3553,ndcg:0.1972,mrr:0.1491, book: hr:0.2629,ndcg:0.1420,mrr:0.1056
epoch:11, self loss:64939.7700, cross loss:65255.2346, G loss:3323.6211, D loss:12.3284, reg loss:2375.4404
test: movie: hr:0.3590,ndcg:0.1991,mrr:0.1504, book: hr:0.2657,ndcg:0.1429,mrr:0.1058
epoch:12, self loss:64909.5416, cross loss:65234.9608, G loss:3338.3607, D loss:11.4044, reg loss:2305.3418
test: movie: hr:0.3602,ndcg:0.2003,mrr:0.1517, book: hr:0.2695,ndcg:0.1452,mrr:0.1077
epoch:13, self loss:64385.8804, cross loss:64856.4314, G loss:3362.4927, D loss:11.6321, reg loss:2238.8157
test: movie: hr:0.3628,ndcg:0.2010,mrr:0.1517, book: hr:0.2727,ndcg:0.1482,mrr:0.1105
epoch:14, self loss:63644.8218, cross loss:63932.9427, G loss:3342.9295, D loss:10.5966, reg loss:2127.4069
test: movie: hr:0.3606,ndcg:0.2006,mrr:0.1519, book: hr:0.2771,ndcg:0.1498,mrr:0.1113
epoch:15, self loss:63314.8478, cross loss:63662.8196, G loss:3390.8969, D loss:9.6552, reg loss:2064.8124
test: movie: hr:0.3642,ndcg:0.2018,mrr:0.1524, book: hr:0.2815,ndcg:0.1529,mrr:0.1140
epoch:16, self loss:62955.6896, cross loss:63237.5099, G loss:3419.3226, D loss:10.2551, reg loss:1989.3220
test: movie: hr:0.3646,ndcg:0.2025,mrr:0.1531, book: hr:0.2874,ndcg:0.1557,mrr:0.1158
epoch:17, self loss:64105.9651, cross loss:64422.8937, G loss:3394.3738, D loss:9.3530, reg loss:1945.6623
test: movie: hr:0.3641,ndcg:0.2019,mrr:0.1525, book: hr:0.2889,ndcg:0.1572,mrr:0.1173
epoch:18, self loss:63281.2969, cross loss:63512.8098, G loss:3384.9241, D loss:9.3579, reg loss:1865.4028
test: movie: hr:0.3705,ndcg:0.2058,mrr:0.1558, book: hr:0.2917,ndcg:0.1592,mrr:0.1191
epoch:19, self loss:62933.5751, cross loss:63105.6593, G loss:3379.8106, D loss:9.0579, reg loss:1809.3224
test: movie: hr:0.3706,ndcg:0.2058,mrr:0.1556, book: hr:0.2935,ndcg:0.1597,mrr:0.1191
epoch:20, self loss:63437.1220, cross loss:63609.3761, G loss:3368.8344, D loss:8.6828, reg loss:1750.6826
test: movie: hr:0.3731,ndcg:0.2083,mrr:0.1581, book: hr:0.2957,ndcg:0.1608,mrr:0.1199
epoch:21, self loss:63935.7371, cross loss:64111.5720, G loss:3335.9979, D loss:8.5593, reg loss:1721.5498
test: movie: hr:0.3738,ndcg:0.2085,mrr:0.1581, book: hr:0.3016,ndcg:0.1653,mrr:0.1240
epoch:22, self loss:63063.3556, cross loss:63225.9819, G loss:3345.6838, D loss:8.4292, reg loss:1665.8448
test: movie: hr:0.3775,ndcg:0.2106,mrr:0.1597, book: hr:0.3016,ndcg:0.1668,mrr:0.1260
epoch:23, self loss:63222.2666, cross loss:63320.1081, G loss:3326.1499, D loss:8.5727, reg loss:1617.2916
test: movie: hr:0.3814,ndcg:0.2131,mrr:0.1619, book: hr:0.3062,ndcg:0.1703,mrr:0.1290
epoch:24, self loss:62346.0966, cross loss:62475.1673, G loss:3315.7493, D loss:8.6922, reg loss:1567.7269
test: movie: hr:0.3838,ndcg:0.2160,mrr:0.1649, book: hr:0.3100,ndcg:0.1719,mrr:0.1300
epoch:25, self loss:61879.6084, cross loss:62049.9430, G loss:3316.0429, D loss:7.8630, reg loss:1521.9704
