epoch:0, self loss:2722288.9714, cross loss:2080474.8639, G loss:1082.1481, D loss:181.9162, reg loss:331734.3959
test: movie: hr:0.3876,ndcg:0.2246,mrr:0.1748, book: hr:0.2240,ndcg:0.1390,mrr:0.1130
epoch:1, self loss:91894.7347, cross loss:86039.9026, G loss:2265.6959, D loss:25.4078, reg loss:23354.2405
test: movie: hr:0.4223,ndcg:0.2380,mrr:0.1818, book: hr:0.2851,ndcg:0.1751,mrr:0.1413
epoch:2, self loss:76598.9648, cross loss:75947.3783, G loss:2589.1866, D loss:15.1656, reg loss:18026.7685
test: movie: hr:0.4208,ndcg:0.2371,mrr:0.1811, book: hr:0.2973,ndcg:0.1800,mrr:0.1441
epoch:3, self loss:67946.4233, cross loss:68691.7734, G loss:2788.6792, D loss:11.8559, reg loss:15707.9834
test: movie: hr:0.4207,ndcg:0.2389,mrr:0.1835, book: hr:0.2988,ndcg:0.1812,mrr:0.1451
epoch:4, self loss:66826.3275, cross loss:67984.5245, G loss:2923.3591, D loss:9.6691, reg loss:13879.0843
test: movie: hr:0.4204,ndcg:0.2386,mrr:0.1833, book: hr:0.3004,ndcg:0.1813,mrr:0.1447
epoch:5, self loss:64086.1820, cross loss:65434.0184, G loss:3014.6338, D loss:8.5588, reg loss:12494.7731
test: movie: hr:0.4239,ndcg:0.2401,mrr:0.1842, book: hr:0.3049,ndcg:0.1837,mrr:0.1466
epoch:6, self loss:62832.0139, cross loss:64019.4113, G loss:3056.8292, D loss:8.3991, reg loss:11548.0541
test: movie: hr:0.4235,ndcg:0.2410,mrr:0.1854, book: hr:0.3057,ndcg:0.1838,mrr:0.1464
epoch:7, self loss:63220.3969, cross loss:64193.0514, G loss:3097.2800, D loss:7.3745, reg loss:10688.9247
test: movie: hr:0.4235,ndcg:0.2404,mrr:0.1846, book: hr:0.3098,ndcg:0.1861,mrr:0.1482
epoch:8, self loss:62671.6038, cross loss:63632.7355, G loss:3127.7126, D loss:6.9766, reg loss:9932.5644
test: movie: hr:0.4254,ndcg:0.2418,mrr:0.1859, book: hr:0.3106,ndcg:0.1872,mrr:0.1494
epoch:9, self loss:62900.9238, cross loss:63765.6907, G loss:3137.8282, D loss:6.5662, reg loss:9251.8261
test: movie: hr:0.4235,ndcg:0.2414,mrr:0.1859, book: hr:0.3104,ndcg:0.1865,mrr:0.1486
epoch:10, self loss:61612.8075, cross loss:62588.8220, G loss:3153.9914, D loss:6.4374, reg loss:8620.4732
