epoch:0, self loss:4444960.0887, cross loss:3349462.2297, G loss:535.4397, D loss:371.5093, reg loss:95031.2232
test: movie: hr:0.1436,ndcg:0.0731,mrr:0.0520, book: hr:0.1573,ndcg:0.0855,mrr:0.0641
epoch:1, self loss:265977.4969, cross loss:213963.6072, G loss:1290.2388, D loss:108.6109, reg loss:110369.0459
test: movie: hr:0.2238,ndcg:0.1221,mrr:0.0914, book: hr:0.2474,ndcg:0.1471,mrr:0.1164
epoch:2, self loss:85252.2475, cross loss:68477.1344, G loss:1741.7664, D loss:60.5864, reg loss:22620.4623
test: movie: hr:0.2441,ndcg:0.1324,mrr:0.0987, book: hr:0.2702,ndcg:0.1588,mrr:0.1248
epoch:3, self loss:66080.2227, cross loss:61342.4131, G loss:2069.3458, D loss:40.4542, reg loss:9916.7906
test: movie: hr:0.2538,ndcg:0.1376,mrr:0.1025, book: hr:0.2848,ndcg:0.1661,mrr:0.1299
epoch:4, self loss:61405.9225, cross loss:58468.7759, G loss:2266.4239, D loss:32.1803, reg loss:5408.6558
test: movie: hr:0.2573,ndcg:0.1385,mrr:0.1027, book: hr:0.2901,ndcg:0.1693,mrr:0.1325
epoch:5, self loss:56426.7945, cross loss:55410.7052, G loss:2373.4352, D loss:26.7504, reg loss:4096.6239
test: movie: hr:0.2593,ndcg:0.1394,mrr:0.1032, book: hr:0.2900,ndcg:0.1696,mrr:0.1328
epoch:6, self loss:53759.4209, cross loss:53471.1483, G loss:2506.5240, D loss:22.4015, reg loss:3722.3063
test: movie: hr:0.2646,ndcg:0.1413,mrr:0.1041, book: hr:0.2905,ndcg:0.1700,mrr:0.1331
epoch:7, self loss:53037.7501, cross loss:53234.7752, G loss:2598.8393, D loss:19.3671, reg loss:3513.9889
test: movie: hr:0.2649,ndcg:0.1416,mrr:0.1044, book: hr:0.2921,ndcg:0.1711,mrr:0.1341
epoch:8, self loss:51548.0014, cross loss:51876.4464, G loss:2659.6664, D loss:16.9983, reg loss:3335.7446
test: movie: hr:0.2633,ndcg:0.1417,mrr:0.1050, book: hr:0.2941,ndcg:0.1709,mrr:0.1334
epoch:9, self loss:50438.8297, cross loss:50965.7319, G loss:2737.8713, D loss:15.2116, reg loss:3130.8363
test: movie: hr:0.2650,ndcg:0.1416,mrr:0.1043, book: hr:0.2930,ndcg:0.1715,mrr:0.1344
epoch:10, self loss:50772.8317, cross loss:51123.4669, G loss:2791.3915, D loss:13.5843, reg loss:3044.2784
test: movie: hr:0.2647,ndcg:0.1419,mrr:0.1048, book: hr:0.2960,ndcg:0.1718,mrr:0.1340
epoch:11, self loss:50350.5462, cross loss:50758.7852, G loss:2820.1190, D loss:12.9697, reg loss:2896.0000
test: movie: hr:0.2676,ndcg:0.1435,mrr:0.1060, book: hr:0.2979,ndcg:0.1729,mrr:0.1348
epoch:12, self loss:49199.5046, cross loss:49595.7506, G loss:2851.1176, D loss:12.3397, reg loss:2759.9000
test: movie: hr:0.2691,ndcg:0.1441,mrr:0.1064, book: hr:0.2985,ndcg:0.1745,mrr:0.1366
epoch:13, self loss:49565.0237, cross loss:50007.3849, G loss:2891.1586, D loss:11.3361, reg loss:2684.2193
test: movie: hr:0.2701,ndcg:0.1445,mrr:0.1066, book: hr:0.3019,ndcg:0.1754,mrr:0.1367
epoch:14, self loss:49387.5566, cross loss:49759.2485, G loss:2955.1898, D loss:10.5707, reg loss:2571.8375
test: movie: hr:0.2713,ndcg:0.1460,mrr:0.1081, book: hr:0.3061,ndcg:0.1786,mrr:0.1397
epoch:15, self loss:49324.4306, cross loss:49645.7012, G loss:2970.8720, D loss:9.9336, reg loss:2448.1368
test: movie: hr:0.2735,ndcg:0.1477,mrr:0.1097, book: hr:0.3064,ndcg:0.1792,mrr:0.1403
