epoch:0, self loss:3565593.8162, cross loss:2833598.1860, G loss:828.2660, D loss:312.7761, reg loss:100502.3925
test: movie: hr:0.3118,ndcg:0.1701,mrr:0.1270, book: hr:0.2096,ndcg:0.1153,mrr:0.0868
epoch:1, self loss:234045.0971, cross loss:159559.2463, G loss:1843.3304, D loss:68.8801, reg loss:43039.8661
test: movie: hr:0.3253,ndcg:0.1764,mrr:0.1311, book: hr:0.2366,ndcg:0.1270,mrr:0.0939
epoch:2, self loss:95936.2703, cross loss:85305.3614, G loss:2449.1594, D loss:33.1845, reg loss:17208.4309
test: movie: hr:0.3385,ndcg:0.1880,mrr:0.1422, book: hr:0.2529,ndcg:0.1362,mrr:0.1009
epoch:3, self loss:83354.3703, cross loss:77262.1806, G loss:2699.1252, D loss:24.7749, reg loss:8497.1695
test: movie: hr:0.3401,ndcg:0.1883,mrr:0.1422, book: hr:0.2588,ndcg:0.1389,mrr:0.1027
epoch:4, self loss:75669.0550, cross loss:72495.1449, G loss:2898.4591, D loss:19.7011, reg loss:5207.3672
test: movie: hr:0.3439,ndcg:0.1906,mrr:0.1440, book: hr:0.2583,ndcg:0.1392,mrr:0.1032
epoch:5, self loss:72157.4888, cross loss:70218.9248, G loss:3062.4681, D loss:15.5999, reg loss:4033.4801
test: movie: hr:0.3451,ndcg:0.1907,mrr:0.1438, book: hr:0.2573,ndcg:0.1392,mrr:0.1034
epoch:6, self loss:69187.7323, cross loss:68557.1755, G loss:3178.2904, D loss:14.6006, reg loss:3478.8919
test: movie: hr:0.3444,ndcg:0.1910,mrr:0.1444, book: hr:0.2637,ndcg:0.1418,mrr:0.1049
epoch:7, self loss:67101.4818, cross loss:66887.9434, G loss:3295.5861, D loss:12.1623, reg loss:3171.0786
test: movie: hr:0.3464,ndcg:0.1923,mrr:0.1454, book: hr:0.2629,ndcg:0.1419,mrr:0.1054
epoch:8, self loss:67131.5746, cross loss:67194.1820, G loss:3361.0579, D loss:11.7802, reg loss:2954.0994
test: movie: hr:0.3484,ndcg:0.1922,mrr:0.1446, book: hr:0.2662,ndcg:0.1429,mrr:0.1057
epoch:9, self loss:67009.4857, cross loss:67164.6070, G loss:3415.9468, D loss:10.9707, reg loss:2775.5838
test: movie: hr:0.3496,ndcg:0.1929,mrr:0.1453, book: hr:0.2680,ndcg:0.1440,mrr:0.1066
epoch:10, self loss:66353.5160, cross loss:66667.7381, G loss:3415.3902, D loss:11.2101, reg loss:2624.1414
test: movie: hr:0.3489,ndcg:0.1922,mrr:0.1445, book: hr:0.2678,ndcg:0.1442,mrr:0.1069
epoch:11, self loss:65473.5956, cross loss:65710.3331, G loss:3426.0595, D loss:9.6799, reg loss:2477.1744
test: movie: hr:0.3489,ndcg:0.1925,mrr:0.1449, book: hr:0.2696,ndcg:0.1456,mrr:0.1081
epoch:12, self loss:65271.6991, cross loss:65460.4715, G loss:3489.1819, D loss:8.8180, reg loss:2358.7089
test: movie: hr:0.3489,ndcg:0.1924,mrr:0.1448, book: hr:0.2706,ndcg:0.1470,mrr:0.1096
epoch:13, self loss:63515.2839, cross loss:63798.0488, G loss:3489.4664, D loss:8.4655, reg loss:2233.0558
test: movie: hr:0.3507,ndcg:0.1937,mrr:0.1459, book: hr:0.2771,ndcg:0.1505,mrr:0.1122
epoch:14, self loss:64065.1084, cross loss:64388.2214, G loss:3514.9901, D loss:8.5208, reg loss:2161.2496
test: movie: hr:0.3565,ndcg:0.1962,mrr:0.1474, book: hr:0.2817,ndcg:0.1522,mrr:0.1129
epoch:15, self loss:63423.5254, cross loss:63766.9905, G loss:3536.5746, D loss:7.8728, reg loss:2076.5764
test: movie: hr:0.3528,ndcg:0.1948,mrr:0.1467, book: hr:0.2847,ndcg:0.1552,mrr:0.1159
epoch:16, self loss:63793.7750, cross loss:64126.1948, G loss:3515.3913, D loss:8.7657, reg loss:1987.5485
test: movie: hr:0.3548,ndcg:0.1961,mrr:0.1477, book: hr:0.2873,ndcg:0.1567,mrr:0.1172
epoch:17, self loss:64966.4099, cross loss:65392.1244, G loss:3447.2683, D loss:8.5382, reg loss:1924.4197
test: movie: hr:0.3601,ndcg:0.1993,mrr:0.1504, book: hr:0.2920,ndcg:0.1593,mrr:0.1191
epoch:18, self loss:64337.0885, cross loss:64742.3217, G loss:3442.2252, D loss:7.9149, reg loss:1851.4444
test: movie: hr:0.3597,ndcg:0.1990,mrr:0.1501, book: hr:0.2924,ndcg:0.1604,mrr:0.1204
epoch:19, self loss:63674.7524, cross loss:64067.6924, G loss:3487.4824, D loss:7.8721, reg loss:1783.8842
test: movie: hr:0.3626,ndcg:0.2007,mrr:0.1515, book: hr:0.2938,ndcg:0.1612,mrr:0.1210
epoch:20, self loss:63122.4752, cross loss:63467.9554, G loss:3439.4714, D loss:8.2736, reg loss:1688.0815
test: movie: hr:0.3628,ndcg:0.2027,mrr:0.1540, book: hr:0.2958,ndcg:0.1633,mrr:0.1231
epoch:21, self loss:63394.3668, cross loss:63736.9505, G loss:3438.5154, D loss:8.0429, reg loss:1626.7005
test: movie: hr:0.3674,ndcg:0.2044,mrr:0.1549, book: hr:0.2999,ndcg:0.1647,mrr:0.1237
epoch:22, self loss:62600.8635, cross loss:62902.5906, G loss:3373.6587, D loss:8.0758, reg loss:1566.9721
test: movie: hr:0.3684,ndcg:0.2050,mrr:0.1555, book: hr:0.3024,ndcg:0.1652,mrr:0.1235
epoch:23, self loss:62883.4286, cross loss:63198.3674, G loss:3334.9337, D loss:8.1758, reg loss:1518.6589
test: movie: hr:0.3672,ndcg:0.2046,mrr:0.1551, book: hr:0.3050,ndcg:0.1677,mrr:0.1262
epoch:24, self loss:63603.9923, cross loss:63971.8181, G loss:3273.4235, D loss:8.3034, reg loss:1466.8670
test: movie: hr:0.3706,ndcg:0.2073,mrr:0.1576, book: hr:0.3065,ndcg:0.1694,mrr:0.1279
epoch:25, self loss:62445.9492, cross loss:62786.3250, G loss:3260.6691, D loss:7.8563, reg loss:1418.8130
test: movie: hr:0.3740,ndcg:0.2085,mrr:0.1582, book: hr:0.3087,ndcg:0.1712,mrr:0.1294
epoch:26, self loss:61493.3614, cross loss:61894.0867, G loss:3262.4014, D loss:7.9885, reg loss:1386.2700
test: movie: hr:0.3761,ndcg:0.2103,mrr:0.1599, book: hr:0.3158,ndcg:0.1753,mrr:0.1327
epoch:27, self loss:61534.2585, cross loss:61900.4555, G loss:3220.6429, D loss:8.0863, reg loss:1335.6045
test: movie: hr:0.3773,ndcg:0.2111,mrr:0.1606, book: hr:0.3147,ndcg:0.1750,mrr:0.1326
epoch:28, self loss:61897.3331, cross loss:62230.9285, G loss:3216.9929, D loss:7.1506, reg loss:1298.9550
test: movie: hr:0.3827,ndcg:0.2145,mrr:0.1634, book: hr:0.3151,ndcg:0.1763,mrr:0.1341
epoch:29, self loss:61710.4029, cross loss:62021.8903, G loss:3223.1198, D loss:7.3748, reg loss:1263.0752
test: movie: hr:0.3829,ndcg:0.2153,mrr:0.1643, book: hr:0.3204,ndcg:0.1775,mrr:0.1342
epoch:30, self loss:63342.1932, cross loss:63622.6428, G loss:3178.0224, D loss:8.4050, reg loss:1242.8865
test: movie: hr:0.3844,ndcg:0.2151,mrr:0.1637, book: hr:0.3254,ndcg:0.1814,mrr:0.1377
epoch:31, self loss:62633.0864, cross loss:62997.5811, G loss:3110.8388, D loss:7.9670, reg loss:1220.3642
test: movie: hr:0.3856,ndcg:0.2172,mrr:0.1660, book: hr:0.3282,ndcg:0.1838,mrr:0.1400
epoch:32, self loss:62532.8622, cross loss:62883.3357, G loss:3070.8512, D loss:8.1651, reg loss:1204.8021
test: movie: hr:0.3850,ndcg:0.2177,mrr:0.1668, book: hr:0.3311,ndcg:0.1848,mrr:0.1405
epoch:33, self loss:61463.9142, cross loss:61809.9059, G loss:3063.6882, D loss:8.3752, reg loss:1159.5255
test: movie: hr:0.3887,ndcg:0.2192,mrr:0.1676, book: hr:0.3313,ndcg:0.1853,mrr:0.1409
epoch:34, self loss:61840.3867, cross loss:62157.7071, G loss:3036.2705, D loss:8.0771, reg loss:1136.7746
test: movie: hr:0.3910,ndcg:0.2210,mrr:0.1692, book: hr:0.3310,ndcg:0.1855,mrr:0.1412
epoch:35, self loss:63028.6382, cross loss:63381.0818, G loss:3048.8083, D loss:7.2474, reg loss:1139.1869
test: movie: hr:0.3939,ndcg:0.2219,mrr:0.1695, book: hr:0.3340,ndcg:0.1885,mrr:0.1442
epoch:36, self loss:61964.8396, cross loss:62348.7432, G loss:3033.5902, D loss:8.6118, reg loss:1123.2338
test: movie: hr:0.3994,ndcg:0.2273,mrr:0.1750, book: hr:0.3378,ndcg:0.1905,mrr:0.1457
epoch:37, self loss:60787.1342, cross loss:61158.8330, G loss:3013.1984, D loss:7.1970, reg loss:1096.2167
test: movie: hr:0.4012,ndcg:0.2302,mrr:0.1780, book: hr:0.3387,ndcg:0.1897,mrr:0.1444
epoch:38, self loss:61505.0800, cross loss:61993.3758, G loss:3001.4022, D loss:7.7905, reg loss:1102.0455
test: movie: hr:0.4084,ndcg:0.2335,mrr:0.1801, book: hr:0.3448,ndcg:0.1934,mrr:0.1474
epoch:39, self loss:62036.7379, cross loss:62463.2972, G loss:2976.9706, D loss:7.3702, reg loss:1109.0912
test: movie: hr:0.4119,ndcg:0.2371,mrr:0.1838, book: hr:0.3459,ndcg:0.1953,mrr:0.1495
epoch:40, self loss:61774.4561, cross loss:62210.3901, G loss:2981.5102, D loss:7.0639, reg loss:1094.8328
test: movie: hr:0.4133,ndcg:0.2388,mrr:0.1855, book: hr:0.3495,ndcg:0.1983,mrr:0.1523
epoch:41, self loss:61573.2600, cross loss:62029.7106, G loss:2979.1508, D loss:7.4818, reg loss:1105.2401
test: movie: hr:0.4186,ndcg:0.2429,mrr:0.1892, book: hr:0.3505,ndcg:0.1984,mrr:0.1520
epoch:42, self loss:60499.0093, cross loss:60901.6286, G loss:2927.2277, D loss:7.8420, reg loss:1091.1485
test: movie: hr:0.4248,ndcg:0.2443,mrr:0.1892, book: hr:0.3539,ndcg:0.2004,mrr:0.1536
epoch:43, self loss:59915.7773, cross loss:60397.0155, G loss:2938.7352, D loss:6.9453, reg loss:1093.6375
test: movie: hr:0.4287,ndcg:0.2484,mrr:0.1933, book: hr:0.3616,ndcg:0.2048,mrr:0.1572
epoch:44, self loss:60312.1987, cross loss:60802.9501, G loss:2912.3806, D loss:8.3880, reg loss:1086.5483
test: movie: hr:0.4338,ndcg:0.2501,mrr:0.1940, book: hr:0.3606,ndcg:0.2068,mrr:0.1600
epoch:45, self loss:59185.2910, cross loss:59680.2421, G loss:2922.7128, D loss:7.0786, reg loss:1089.0752
test: movie: hr:0.4329,ndcg:0.2513,mrr:0.1957, book: hr:0.3694,ndcg:0.2112,mrr:0.1632
epoch:46, self loss:59598.3065, cross loss:60189.9128, G loss:2876.4480, D loss:8.4645, reg loss:1100.7987
test: movie: hr:0.4389,ndcg:0.2538,mrr:0.1972, book: hr:0.3726,ndcg:0.2132,mrr:0.1647
epoch:47, self loss:59409.2438, cross loss:59902.7145, G loss:2855.2373, D loss:7.3442, reg loss:1121.5403
test: movie: hr:0.4403,ndcg:0.2557,mrr:0.1991, book: hr:0.3741,ndcg:0.2140,mrr:0.1652
epoch:48, self loss:60546.7150, cross loss:60988.7141, G loss:2850.8889, D loss:7.7676, reg loss:1123.5769
test: movie: hr:0.4429,ndcg:0.2566,mrr:0.1996, book: hr:0.3800,ndcg:0.2191,mrr:0.1701
epoch:49, self loss:59430.6432, cross loss:59889.9157, G loss:2841.1849, D loss:7.6602, reg loss:1119.7909
test: movie: hr:0.4475,ndcg:0.2590,mrr:0.2013, book: hr:0.3842,ndcg:0.2210,mrr:0.1712
epoch:50, self loss:58323.6133, cross loss:58829.5177, G loss:2863.0457, D loss:6.8095, reg loss:1102.4460
test: movie: hr:0.4486,ndcg:0.2608,mrr:0.2034, book: hr:0.3853,ndcg:0.2237,mrr:0.1744
epoch:51, self loss:59610.5470, cross loss:60158.1877, G loss:2844.6876, D loss:7.7043, reg loss:1109.7676
test: movie: hr:0.4524,ndcg:0.2637,mrr:0.2061, book: hr:0.3909,ndcg:0.2265,mrr:0.1764
epoch:52, self loss:58402.4594, cross loss:59102.2248, G loss:2816.1225, D loss:6.8330, reg loss:1123.6222
test: movie: hr:0.4571,ndcg:0.2661,mrr:0.2077, book: hr:0.3950,ndcg:0.2305,mrr:0.1803
epoch:53, self loss:58393.9361, cross loss:59073.6621, G loss:2838.6152, D loss:7.0086, reg loss:1114.3162
test: movie: hr:0.4549,ndcg:0.2652,mrr:0.2071, book: hr:0.3991,ndcg:0.2311,mrr:0.1798
epoch:54, self loss:57462.2933, cross loss:58103.5994, G loss:2858.7879, D loss:6.9112, reg loss:1123.8638
test: movie: hr:0.4558,ndcg:0.2664,mrr:0.2084, book: hr:0.3993,ndcg:0.2327,mrr:0.1817
epoch:55, self loss:57766.6992, cross loss:58530.5188, G loss:2853.1869, D loss:6.5071, reg loss:1132.1684
test: movie: hr:0.4596,ndcg:0.2687,mrr:0.2102, book: hr:0.4073,ndcg:0.2385,mrr:0.1869
epoch:56, self loss:57844.5851, cross loss:58515.0373, G loss:2839.7693, D loss:6.8685, reg loss:1125.3475
test: movie: hr:0.4639,ndcg:0.2714,mrr:0.2125, book: hr:0.4095,ndcg:0.2386,mrr:0.1865
epoch:57, self loss:58544.9691, cross loss:59351.2587, G loss:2875.4284, D loss:5.9820, reg loss:1137.9147
test: movie: hr:0.4639,ndcg:0.2729,mrr:0.2144, book: hr:0.4152,ndcg:0.2416,mrr:0.1886
epoch:58, self loss:57718.8302, cross loss:58485.4118, G loss:2869.5579, D loss:6.2086, reg loss:1157.9825
test: movie: hr:0.4660,ndcg:0.2740,mrr:0.2152, book: hr:0.4204,ndcg:0.2463,mrr:0.1931
epoch:59, self loss:57788.9394, cross loss:58480.7077, G loss:2847.3524, D loss:6.5850, reg loss:1135.5539
test: movie: hr:0.4698,ndcg:0.2752,mrr:0.2156, book: hr:0.4257,ndcg:0.2498,mrr:0.1960
