epoch:0, self loss:3211067.2529, cross loss:2460470.5574, G loss:757.7719, D loss:274.4066, reg loss:209708.3563
test: movie: hr:0.2127,ndcg:0.1158,mrr:0.0866, book: hr:0.2005,ndcg:0.1230,mrr:0.0994
epoch:1, self loss:140097.4322, cross loss:93893.9032, G loss:1719.6758, D loss:57.0868, reg loss:41816.7466
test: movie: hr:0.2399,ndcg:0.1303,mrr:0.0972, book: hr:0.2632,ndcg:0.1559,mrr:0.1229
epoch:2, self loss:69422.6544, cross loss:61424.7545, G loss:2267.0128, D loss:28.7135, reg loss:11810.6406
test: movie: hr:0.2572,ndcg:0.1386,mrr:0.1028, book: hr:0.2812,ndcg:0.1658,mrr:0.1305
epoch:3, self loss:57887.8701, cross loss:55992.9090, G loss:2541.4025, D loss:20.1496, reg loss:6759.7965
test: movie: hr:0.2593,ndcg:0.1402,mrr:0.1043, book: hr:0.2826,ndcg:0.1661,mrr:0.1304
epoch:4, self loss:52687.8195, cross loss:52831.5203, G loss:2733.2793, D loss:15.7253, reg loss:5769.1041
test: movie: hr:0.2599,ndcg:0.1405,mrr:0.1045, book: hr:0.2897,ndcg:0.1695,mrr:0.1327
epoch:5, self loss:51021.1144, cross loss:51561.6635, G loss:2872.2716, D loss:12.9676, reg loss:5161.3805
test: movie: hr:0.2619,ndcg:0.1412,mrr:0.1049, book: hr:0.2906,ndcg:0.1705,mrr:0.1337
epoch:6, self loss:50510.1453, cross loss:51386.5938, G loss:2998.6479, D loss:11.0740, reg loss:4698.0803
test: movie: hr:0.2647,ndcg:0.1422,mrr:0.1052, book: hr:0.2938,ndcg:0.1716,mrr:0.1343
epoch:7, self loss:49710.7581, cross loss:50454.2450, G loss:3104.1964, D loss:10.1238, reg loss:4239.9732
test: movie: hr:0.2665,ndcg:0.1430,mrr:0.1057, book: hr:0.2942,ndcg:0.1723,mrr:0.1350
epoch:8, self loss:49556.0451, cross loss:50312.8523, G loss:3196.8134, D loss:8.6884, reg loss:3850.0603
test: movie: hr:0.2658,ndcg:0.1426,mrr:0.1053, book: hr:0.2945,ndcg:0.1729,mrr:0.1357
epoch:9, self loss:49758.9099, cross loss:50403.1255, G loss:3222.5643, D loss:8.5846, reg loss:3538.8694
